[2023-11-13T15:25:13.559Z] : [warn]: You opened a file that contained UI elements to interact with. But Studio Pro can't find the elements. This happens because the .neek file can't find the .elm file associated with the workflow. Please, put the .elm file to the corresponding elements folder in the same folder where the workflow is placed or select the elements manually again. Reopen the workflow


  ==========================================
  Studio Pro version: 9.6.8
  Started at: 11/13/2023, 9:25:14 AM
  ==========================================
  

[2023-11-13T15:29:37.908Z] : [warn]: There is a small amount of free memory (RAM) left, 90.8% of RAM is being used (7211 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.
[2023-11-13T16:36:06.204Z] : [warn]: There is a small amount of free memory (RAM) left, 92.51% of RAM is being used (7347 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:47:36.237Z] : [warn]: There is a small amount of free memory (RAM) left, 93.59% of RAM is being used (7433 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:51:06.169Z] : [warn]: There is a small amount of free memory (RAM) left, 92.86% of RAM is being used (7375 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T16:53:36.235Z] : [warn]: There is a small amount of free memory (RAM) left, 91.84% of RAM is being used (7294 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:02:36.236Z] : [warn]: There is a small amount of free memory (RAM) left, 90.48% of RAM is being used (7186 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:04:36.228Z] : [warn]: There is a small amount of free memory (RAM) left, 90.34% of RAM is being used (7175 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:06:06.170Z] : [warn]: There is a small amount of free memory (RAM) left, 90.71% of RAM is being used (7204 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:08:06.172Z] : [warn]: There is a small amount of free memory (RAM) left, 94.25% of RAM is being used (7485 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:22:36.240Z] : [warn]: There is a small amount of free memory (RAM) left, 90.47% of RAM is being used (7185 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:32:06.190Z] : [warn]: There is a small amount of free memory (RAM) left, 90.53% of RAM is being used (7190 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:35:06.225Z] : [warn]: There is a small amount of free memory (RAM) left, 92.18% of RAM is being used (7321 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:37:06.169Z] : [warn]: There is a small amount of free memory (RAM) left, 91.45% of RAM is being used (7263 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:47:06.193Z] : [warn]: There is a small amount of free memory (RAM) left, 90.33% of RAM is being used (7174 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:48:36.228Z] : [warn]: There is a small amount of free memory (RAM) left, 90.41% of RAM is being used (7180 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:49:36.226Z] : [warn]: There is a small amount of free memory (RAM) left, 90.58% of RAM is being used (7194 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T17:53:36.236Z] : [warn]: There is a small amount of free memory (RAM) left, 91.11% of RAM is being used (7236 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T18:00:06.205Z] : [warn]: There is a small amount of free memory (RAM) left, 90.63% of RAM is being used (7198 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T18:03:06.245Z] : [warn]: There is a small amount of free memory (RAM) left, 91.63% of RAM is being used (7277 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T18:04:36.214Z] : [warn]: There is a small amount of free memory (RAM) left, 91.25% of RAM is being used (7247 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T18:07:06.170Z] : [warn]: There is a small amount of free memory (RAM) left, 90.09% of RAM is being used (7155 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T18:23:36.246Z] : [warn]: There is a small amount of free memory (RAM) left, 90.76% of RAM is being used (7208 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T18:26:06.171Z] : [warn]: There is a small amount of free memory (RAM) left, 91.71% of RAM is being used (7284 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T18:53:36.215Z] : [warn]: There is a small amount of free memory (RAM) left, 91.02% of RAM is being used (7229 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:11:36.241Z] : [warn]: There is a small amount of free memory (RAM) left, 91.69% of RAM is being used (7282 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:14:36.269Z] : [warn]: There is a small amount of free memory (RAM) left, 90.23% of RAM is being used (7166 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:16:06.177Z] : [warn]: There is a small amount of free memory (RAM) left, 91.95% of RAM is being used (7303 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:19:06.189Z] : [warn]: There is a small amount of free memory (RAM) left, 90.52% of RAM is being used (7189 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:22:06.175Z] : [warn]: There is a small amount of free memory (RAM) left, 90.27% of RAM is being used (7169 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:23:36.252Z] : [warn]: There is a small amount of free memory (RAM) left, 92.45% of RAM is being used (7342 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:24:36.215Z] : [warn]: There is a small amount of free memory (RAM) left, 90.25% of RAM is being used (7168 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:27:06.175Z] : [warn]: There is a small amount of free memory (RAM) left, 90.14% of RAM is being used (7159 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:30:06.201Z] : [warn]: There is a small amount of free memory (RAM) left, 91.35% of RAM is being used (7255 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:33:06.214Z] : [warn]: There is a small amount of free memory (RAM) left, 91.11% of RAM is being used (7236 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:37:36.236Z] : [warn]: There is a small amount of free memory (RAM) left, 90.96% of RAM is being used (7224 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:38:36.224Z] : [warn]: There is a small amount of free memory (RAM) left, 91.84% of RAM is being used (7294 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:40:06.168Z] : [warn]: There is a small amount of free memory (RAM) left, 92.07% of RAM is being used (7312 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:43:06.210Z] : [warn]: There is a small amount of free memory (RAM) left, 91.35% of RAM is being used (7255 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:49:36.252Z] : [warn]: There is a small amount of free memory (RAM) left, 90.25% of RAM is being used (7168 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T19:54:06.178Z] : [warn]: There is a small amount of free memory (RAM) left, 90.02% of RAM is being used (7149 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T20:08:36.252Z] : [warn]: There is a small amount of free memory (RAM) left, 90.78% of RAM is being used (7210 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T20:32:06.193Z] : [warn]: There is a small amount of free memory (RAM) left, 96.15% of RAM is being used (7636 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T20:36:36.210Z] : [warn]: There is a small amount of free memory (RAM) left, 90.24% of RAM is being used (7167 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T21:27:06.195Z] : [warn]: There is a small amount of free memory (RAM) left, 90.61% of RAM is being used (7196 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T21:35:36.239Z] : [warn]: There is a small amount of free memory (RAM) left, 90.14% of RAM is being used (7159 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T21:38:36.270Z] : [warn]: There is a small amount of free memory (RAM) left, 90.68% of RAM is being used (7202 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T21:41:36.272Z] : [warn]: There is a small amount of free memory (RAM) left, 90.81% of RAM is being used (7212 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T21:44:36.285Z] : [warn]: There is a small amount of free memory (RAM) left, 90.81% of RAM is being used (7212 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-13T22:11:36.258Z] : [warn]: There is a small amount of free memory (RAM) left, 91.29% of RAM is being used (7250 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T03:30:50.932Z] : [info]: Internet connection // error

[2023-11-14T03:30:58.905Z] : [success]: Connection to our licenses server is restored

[2023-11-14T13:39:46.809Z] : [info]: Internet connection // error

[2023-11-14T13:39:50.887Z] : [success]: Connection to our licenses server is restored

[2023-11-14T15:25:51.318Z] : [info]: Internet connection // error

[2023-11-14T15:25:52.230Z] : [success]: Connection to our licenses server is restored

[2023-11-14T15:26:06.169Z] : [warn]: There is a small amount of free memory (RAM) left, 92.47% of RAM is being used (7344 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T15:27:06.174Z] : [warn]: There is a small amount of free memory (RAM) left, 92.81% of RAM is being used (7371 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T15:28:06.176Z] : [warn]: There is a small amount of free memory (RAM) left, 91.64% of RAM is being used (7278 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T15:31:36.237Z] : [warn]: There is a small amount of free memory (RAM) left, 93.89% of RAM is being used (7457 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T17:02:06.206Z] : [warn]: There is a small amount of free memory (RAM) left, 90.41% of RAM is being used (7180 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T17:05:06.191Z] : [warn]: There is a small amount of free memory (RAM) left, 91.95% of RAM is being used (7303 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T17:06:36.249Z] : [warn]: There is a small amount of free memory (RAM) left, 90.97% of RAM is being used (7225 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T17:09:06.187Z] : [warn]: There is a small amount of free memory (RAM) left, 91.74% of RAM is being used (7286 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T17:09:12.973Z] : [success]: Robot saved successfully

[2023-11-14T17:09:25.650Z] : [info]: ---------------------------------------------

[2023-11-14T17:09:25.653Z] : [success]: Bot started

[2023-11-14T17:09:25.654Z] : [info]: Robot start

[2023-11-14T17:10:28.008Z] : [success]: Bot finished successfully, total execution time: 1m 2s 352ms

[2023-11-14T17:10:28.010Z] : [info]: ---------------------------------------------

[2023-11-14T17:10:57.344Z] : [success]: Bot started

[2023-11-14T17:10:57.346Z] : [info]: Robot start

[2023-11-14T17:12:36.222Z] : [warn]: There is a small amount of free memory (RAM) left, 90.43% of RAM is being used (7182 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-14T17:13:19.980Z] : [success]: Bot finished successfully, total execution time: 2m 22s 630ms

[2023-11-14T17:13:19.981Z] : [info]: ---------------------------------------------

[2023-11-14T17:26:36.224Z] : [warn]: There is a small amount of free memory (RAM) left, 91.87% of RAM is being used (7296 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

